Sample,Nbr_reads,BS_conversion_rate
SRR15046829,187134232,0.9812
SRR15046830,212760365,0.9311
SRR15046831,207505032,0.9504
SRR15046832,182068117,0.9960
SRR15046833,106338745,0.9393
SRR15046834,227513468,0.9295
SRR15046835,234975733,0.9911
SRR15046836,208687472,0.9832
SRR15046837,46538151,0.0005
SRR15046838,196555588,0.9880
SRR15046839,249575975,0.9945
SRR15046840,171550441,0.9867
SRR15046841,155738539,0.9893
SRR15046842,238954120,0.9980
SRR15046843,234300116,0.9915
SRR15046844,232874828,0.9839
SRR15046845,218456806,0.9951
SRR15046846,184392291,0.8933
SRR15046847,123965484,0.9507
SRR15046848,213690156,0.9714
SRR15046849,145152,1.0000
SRR15046850,195237819,0.9916
SRR15046851,214671868,0.9093
SRR15046852,162151717,0.9709
SRR17509863,224656484,0.9866
SRR17509864,231963564,0.9961
SRR17509865,218453163,0.9640
SRR17509866,191168092,0.9792
SRR17509867,197311676,0.9536
SRR17509868,202593015,0.9923
SRR17509869,203038147,0.9964
SRR17509870,202029480,0.9903
SRR17509871,211489280,0.9970
SRR17509872,214347478,0.9980
SRR17509873,164747358,0.9960
SRR17509874,196711501,0.9904
SRR17509875,202192164,0.9972
SRR17509876,202444171,0.9946
SRR17509877,129756421,0.9856
SRR17509878,223814236,0.9850
SRR17509879,194071484,0.9807
SRR17509880,176764376,0.9921
SRR17509881,222254617,0.9625
SRR17509882,167650938,0.9948
SRR17509883,234173695,0.9805
SRR17509884,206081421,0.9327
SRR17509885,208247056,0.9921
SRR17509886,171379222,0.9558
SRR28532088,215145486,0.9953
SRR28532090,263701089,0.9953
SRR28532092,204423559,0.9958
SRR28532094,206231312,0.9954
SRR28532096,220279346,0.9947
SRR28532098,212796478,0.9946
SRR28532100,201122071,0.9954
SRR28532102,198856554,0.9934
SRR28532104,202606747,0.9948
SRR28532106,203325689,0.9950
SRR28532108,204554237,0.9953
SRR28532136,265292085,0.9955
SRR28532137,251987560,0.9947
SRR28532138,202469283,0.9946
SRR28532139,273657739,0.9952
SRR28532140,238073235,0.9954
SRR28532141,264709129,0.9952
SRR28532142,252198883,0.9944
SRR28532143,271095500,0.9867
SRR28532145,210728255,0.9955
SRR8117410,149387184,0.8147
SRR8117411,146525224,0.8773
SRR8117412,144873387,0.5128
SRR8117413,147753132,0.9653
SRR8117414,146491552,0.9829
SRR8117415,162616108,0.9201
SRR8117416,139458098,0.0956
SRR8117417,144859851,0.6391
SRR8117419,155068310,0.9435
SRR8117421,137988454,0.9685
SRR8117423,134210151,0.8137
SRR8117425,126008067,0.8495
SRR8117426,158164053,0.9020
SRR8117428,178244104,0.8277
SRR8117430,150591067,0.5556
SRR8117431,132919369,0.4293
SRR8117432,130533619,0.7549
SRR8117433,136109539,0.8730
SRR8117434,133369367,0.8441
SRR8117435,155269393,0.9217
SRR8117446,123825743,0.7727
SRR8117447,136269561,0.6775
SRR8117448,140710770,0.8889
SRR8117449,129477916,0.4858
SRR8117450,141882500,0.6876
SRR8117451,134560791,0.9681
SRR8117452,120682772,0.9522
SRR8117453,124983159,0.3993
SRR8117454,144874026,0.9060
SRR8117455,124158252,1.0000
SRR8117456,129297863,0.8255
SRR8117457,137676030,0.9183
SRR8117458,148167450,0.7362
SRR8117459,117949511,0.9830
SRR8117460,131666661,0.7257
SRR8117461,129202395,0.7132
SRR8117462,125635348,0.8683
SRR8117463,129779808,0.8033
SRR8117464,148508969,0.9566
SRR8117465,148114002,0.8732
